date,value,type
8,0.391,2144
9,0.261,2144
10,0.304,2144
11,0.130,2144
12,0.739,2144
13,1.000,2144
14,0.043,2144
15,0.000,2144
16,0.000,2144
17,0.000,2144
18,0.000,2144
19,0.000,2144
20,0.000,2144
21,0.000,2144
22,0.000,2144
23,0.000,2144
0,1.000,2147
1,0.522,2147
2,0.391,2147
3,0.000,2147
4,0.000,2147
5,0.000,2147
6,0.000,2147
7,0.000,2147
8,0.000,2147
9,0.000,2147
10,0.000,2147
11,0.000,2147
12,0.348,2147
13,0.087,2147
14,0.043,2147
15,0.000,2147
16,0.000,2147
17,0.000,2147
18,0.000,2147
19,0.000,2147
20,0.000,2147
21,0.000,2147
22,0.000,2147
23,0.000,2147
0,0.000,2152
1,0.000,2152
2,0.000,2152
3,0.000,2152
4,0.000,2152
5,0.000,2152
6,0.000,2152
7,0.000,2152
8,0.000,2152
9,0.000,2152
10,0.000,2152
11,1.000,2152
12,0.000,2152
13,0.000,2152
14,0.000,2152
15,0.000,2152
16,0.000,2152
17,0.000,2152
18,0.000,2152
19,0.000,2152
20,0.000,2152
21,0.000,2152
22,0.000,2152
23,0.000,2152
0,0.000,2155
1,0.000,2155
2,0.618,2155
3,1.000,2155
4,0.882,2155
5,0.471,2155
6,0.588,2155
7,0.588,2155
8,0.206,2155
9,0.294,2155
10,0.382,2155
11,0.412,2155
12,0.000,2155
13,0.000,2155
14,0.000,2155
15,0.000,2155
16,0.000,2155
17,0.000,2155
18,0.000,2155
19,0.000,2155
20,0.000,2155
21,0.000,2155
22,0.000,2155
23,0.000,2155
0,0.000,2156
1,0.000,2156
2,0.361,2156
3,0.944,2156
4,0.722,2156
5,0.444,2156
6,0.389,2156
7,1.000,2156
8,0.611,2156
9,0.417,2156
10,0.500,2156
11,0.444,2156
12,0.000,2156
13,0.000,2156
14,0.000,2156
15,0.000,2156
16,0.000,2156
17,0.000,2156
18,0.000,2156
19,0.000,2156
20,0.000,2156
21,0.000,2156
22,0.000,2156
23,0.000,2156
0,0.000,2157
